,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist,song_name,cluster
0,0.679,0.557,0,-7.423,1,0.0281,0.0904,0.0324,0.0866,0.405,85.152,Eve,What It's Like,1
1,0.584,0.911,5,-3.515,0,0.09,0.0119,0.0,0.119,0.606,92.502,Eve,Kaikai Kitan,4
2,0.48,0.482,7,-11.45,0,0.0362,0.25,0.000289,0.345,0.684,128.16,Eve,Hey Lover,4
3,0.568,0.94,1,-5.401,1,0.0411,0.000431,4.96e-05,0.0779,0.738,97.096,Eve,Father Of Mine,1
4,0.509,0.448,4,-7.552,0,0.0357,0.00713,0.0137,0.244,0.221,156.909,Eve,I See Red,0
5,0.167,0.164,10,-38.138,0,0.0874,0.896,0.963,0.112,0.039,126.747,Eve,Brown Noise Sleep,6
6,0.534,0.462,4,-8.172,1,0.0266,0.839,0.0,0.129,0.534,96.195,Eve,All I Have to Do Is Dream,2
7,0.82,0.854,1,-4.153,1,0.22,0.239,0.0,0.359,0.574,102.623,Eve,Tambourine,3
8,0.566,0.872,7,-3.448,1,0.132,0.0192,0.0,0.0621,0.203,149.949,Eve,SLAY,0
9,0.578,0.76,5,-2.307,1,0.0329,0.00188,0.0,0.142,0.7,127.904,Eve,Tell Me I'm A Wreck,1
10,0.163,0.0291,7,-32.294,1,0.0586,0.95,0.574,0.0913,0.167,137.329,Eve,Astral,6
11,0.592,0.9,3,-1.73,0,0.0741,0.0192,0.0,0.172,0.706,149.018,Eve,Dramaturgy,4
12,0.609,0.0711,5,-29.12,1,0.101,0.996,0.964,0.138,0.401,94.899,Eve,A Friend Like You,6
13,0.518,0.87,0,-4.933,1,0.098,0.0351,0.00707,0.255,0.661,169.665,Eve,I Will Buy You A New Life,0
14,0.756,0.532,6,-6.508,0,0.0934,0.072,0.0,0.0579,0.869,149.975,Eve,We Ready,4
15,0.723,0.84,1,-3.523,0,0.0608,0.0619,0.0,0.0945,0.827,94.332,Eve,Gangsta Lovin',4
16,0.507,0.966,6,-4.046,1,0.0952,0.000382,1.26e-06,0.349,0.752,125.913,Eve,FightSong,0
17,0.477,0.85,3,-1.486,0,0.0911,0.00108,0.0,0.0675,0.601,163.845,Eve,LA DI DA,0
18,0.77,0.86,6,-3.702,1,0.19,0.0159,0.000713,0.0682,0.547,96.428,Eve,Who's That Girl?,1
19,0.514,0.817,7,-6.489,1,0.05,0.0118,8.25e-06,0.346,0.734,186.765,Eve,Wonderful,0
20,0.692,0.881,11,-2.563,0,0.0461,0.0457,4.45e-06,0.146,0.432,103.053,Eve,DUN DUN,4
21,0.443,0.841,1,-5.245,1,0.0813,0.00105,0.0,0.177,0.526,182.971,Eve,Bokurano,0
22,0.171,0.00552,0,-34.587,1,0.0422,0.912,0.871,0.109,0.0909,73.031,Eve,A Waiting,6
23,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723,Eve,Wake up Little Susie,1
24,0.646,0.945,0,-5.689,1,0.0473,0.0919,1.53e-05,0.0599,0.796,100.027,Eve,Everything To Everyone,1
25,0.138,0.0755,1,-41.025,1,0.0659,0.756,0.973,0.109,0.0446,141.406,Eve,Sleeping Brown Noise,6
26,0.222,0.139,1,-37.928,1,0.063,0.837,0.973,0.112,0.264,137.652,Eve,Restoration Brown Noise,6
27,0.482,0.234,7,-22.993,1,0.0379,0.995,0.943,0.101,0.593,95.657,Eve,Symbios,6
28,0.145,0.181,1,-37.606,1,0.0686,0.855,0.973,0.112,0.242,170.807,Eve,Smooth Brown Noise 219Hz,6
29,0.547,0.523,9,-9.176,1,0.0572,0.724,0.0,0.103,0.89,169.598,Eve,Bye Bye Love,1
30,0.691,0.841,8,-7.026,0,0.0436,0.00438,4.44e-05,0.31,0.755,92.025,Eve,I'm Dangerous,4
31,0.149,0.0695,1,-41.071,1,0.0582,0.789,0.973,0.109,0.0594,138.516,Eve,Brown Noise for Relaxing,6
32,0.321,0.231,7,-12.29,0,0.0376,0.821,3.78e-05,0.101,0.149,179.711,Eve,Evelyn Evelyn,2
33,0.583,0.652,7,-6.255,1,0.0244,0.0405,0.000378,0.0781,0.352,97.469,Eve,Here's to the Night,1
34,0.688,0.0163,9,-19.63,0,0.0752,0.995,0.962,0.141,0.504,133.461,Eve,Like Waves On The Ocean,6
35,0.72,0.828,6,-5.559,1,0.0612,0.0343,0.0,0.0747,0.633,139.928,Eve,Bon Bon Chocolat,1
36,0.472,0.836,8,-5.167,1,0.0483,0.00229,0.00351,0.126,0.148,126.009,Eve,Sometime Around Midnight,0
37,0.611,0.95,8,-3.509,1,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078,Seether,Fake It,0
38,0.55,0.952,8,-4.664,1,0.0924,0.000193,0.000666,0.0614,0.391,127.804,Seether,Remedy,0
39,0.442,0.855,6,-2.985,0,0.0288,0.00049,0.0137,0.273,0.363,175.543,Seether,Fine Again,0
40,0.63,0.86,0,-6.117,1,0.0327,0.00115,1.19e-06,0.231,0.911,95.978,Seether,Country Song,1
41,0.541,0.916,7,-5.964,0,0.0612,0.00326,2.04e-06,0.0967,0.627,156.015,Seether,Nobody Praying For Me,4
42,0.469,0.943,2,-4.196,1,0.102,6.07e-05,0.00547,0.0717,0.358,134.031,Seether,Careless Whisper,0
43,0.473,0.942,1,-2.698,1,0.0785,3.4e-05,0.0375,0.0627,0.75,173.527,Seether,Gasoline,0
44,0.417,0.871,1,-3.54,1,0.039,0.000483,3.43e-05,0.0867,0.188,142.003,Seether,Breakdown,0
45,0.593,0.903,5,-5.537,0,0.0581,0.0113,0.000315,0.0449,0.614,109.858,Seether,Words As Weapons,4
46,0.595,0.949,5,-4.327,1,0.0476,0.000325,4.24e-05,0.306,0.772,117.97,Seether,Same Damn Life,1
47,0.533,0.83,1,-3.092,1,0.0324,0.011,2.98e-06,0.0801,0.249,120.028,Seether,Rise Above This,0
48,0.519,0.801,10,-5.624,0,0.0412,0.00587,0.0189,0.218,0.564,100.053,Seether,Truth,4
49,0.561,0.86,9,-3.273,0,0.0307,0.00033,0.000469,0.114,0.251,130.703,Seether,Driven Under,4
50,0.59,0.929,9,-4.356,1,0.035,1.61e-05,0.0662,0.113,0.517,125.012,Seether,Tonight,0
51,0.371,0.819,2,-4.366,1,0.0493,0.000298,1.74e-06,0.143,0.305,195.959,Seether,FMLYHM,0
52,0.599,0.901,0,-4.842,0,0.071,0.000766,0.0154,0.0597,0.536,100.995,Seether,Dangerous,4
53,0.58,0.737,10,-4.795,1,0.0335,9.85e-05,0.0367,0.0823,0.506,92.0,Seether,Betray And Degrade,1
54,0.529,0.688,8,-5.722,0,0.0313,0.000173,0.0239,0.141,0.223,113.289,Seether,The Gift,4
55,0.643,0.614,8,-5.614,0,0.0284,0.000209,0.179,0.0747,0.627,115.994,Seether,Bruised And Bloodied - Acoustic Version,4
56,0.48,0.786,4,-6.482,1,0.035,0.052,2.22e-06,0.111,0.18,167.975,Seether,Save Today,0
57,0.335,0.933,8,-4.225,1,0.0767,0.00168,0.036,0.254,0.357,192.055,Seether,Like Suicide,0
58,0.476,0.809,2,-4.434,1,0.0327,2.66e-05,0.0797,0.0886,0.558,83.957,Seether,Let You Down,1
59,0.37,0.889,5,-4.75,1,0.0611,0.00159,4.79e-05,0.102,0.395,159.978,Seether,Weak,0
60,0.629,0.88,2,-4.483,1,0.0371,7.54e-05,0.0332,0.064,0.454,121.008,Seether,Bruised And Bloodied,0
61,0.268,0.811,1,-4.06,1,0.0409,7.61e-05,0.00122,0.0651,0.295,101.041,Seether,Wasteland,0
