,artist,song_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
0,Eve,What It's Like,spotify:track:6vUPPEN2V2lZ78b6DyEIjZ,0.679,0.557,0,-7.423,1,0.0281,0.0904,0.0324,0.0866,0.405,85.152,audio_features,6vUPPEN2V2lZ78b6DyEIjZ,https://api.spotify.com/v1/tracks/6vUPPEN2V2lZ78b6DyEIjZ,https://api.spotify.com/v1/audio-analysis/6vUPPEN2V2lZ78b6DyEIjZ,303133,4
1,Eve,Kaikai Kitan,spotify:track:6y4GYuZszeXNOXuBFsJlos,0.584,0.911,5,-3.515,0,0.09,0.0119,0.0,0.119,0.606,92.502,audio_features,6y4GYuZszeXNOXuBFsJlos,https://api.spotify.com/v1/tracks/6y4GYuZszeXNOXuBFsJlos,https://api.spotify.com/v1/audio-analysis/6y4GYuZszeXNOXuBFsJlos,221426,4
2,Eve,Hey Lover,spotify:track:0bhwnn2xqnBUcMZDcXNuII,0.48,0.482,7,-11.45,0,0.0362,0.25,0.000289,0.345,0.684,128.16,audio_features,0bhwnn2xqnBUcMZDcXNuII,https://api.spotify.com/v1/tracks/0bhwnn2xqnBUcMZDcXNuII,https://api.spotify.com/v1/audio-analysis/0bhwnn2xqnBUcMZDcXNuII,144000,4
3,Eve,Father Of Mine,spotify:track:2hx4ptqsE8dboLH3NCLmaN,0.568,0.94,1,-5.401,1,0.0411,0.000431,4.96e-05,0.0779,0.738,97.096,audio_features,2hx4ptqsE8dboLH3NCLmaN,https://api.spotify.com/v1/tracks/2hx4ptqsE8dboLH3NCLmaN,https://api.spotify.com/v1/audio-analysis/2hx4ptqsE8dboLH3NCLmaN,231400,4
4,Eve,I See Red,spotify:track:5MAK1nd8R6PWnle1Q1WJvh,0.509,0.448,4,-7.552,0,0.0357,0.00713,0.0137,0.244,0.221,156.909,audio_features,5MAK1nd8R6PWnle1Q1WJvh,https://api.spotify.com/v1/tracks/5MAK1nd8R6PWnle1Q1WJvh,https://api.spotify.com/v1/audio-analysis/5MAK1nd8R6PWnle1Q1WJvh,230613,3
5,Eve,Brown Noise Sleep,spotify:track:1wvBsgAAOSOsGvedOeoAPP,0.167,0.164,10,-38.138,0,0.0874,0.896,0.963,0.112,0.039,126.747,audio_features,1wvBsgAAOSOsGvedOeoAPP,https://api.spotify.com/v1/tracks/1wvBsgAAOSOsGvedOeoAPP,https://api.spotify.com/v1/audio-analysis/1wvBsgAAOSOsGvedOeoAPP,218000,4
6,Eve,All I Have to Do Is Dream,spotify:track:7dblNGnRXEBrVJunazs2U5,0.534,0.462,4,-8.172,1,0.0266,0.839,0.0,0.129,0.534,96.195,audio_features,7dblNGnRXEBrVJunazs2U5,https://api.spotify.com/v1/tracks/7dblNGnRXEBrVJunazs2U5,https://api.spotify.com/v1/audio-analysis/7dblNGnRXEBrVJunazs2U5,143333,4
7,Eve,Tambourine,spotify:track:1U16aNzvnlfARgjWXjKmQj,0.82,0.854,1,-4.153,1,0.22,0.239,0.0,0.359,0.574,102.623,audio_features,1U16aNzvnlfARgjWXjKmQj,https://api.spotify.com/v1/tracks/1U16aNzvnlfARgjWXjKmQj,https://api.spotify.com/v1/audio-analysis/1U16aNzvnlfARgjWXjKmQj,192440,4
8,Eve,SLAY,spotify:track:32Ao6xLLir3dPOhQGvqgSB,0.566,0.872,7,-3.448,1,0.132,0.0192,0.0,0.0621,0.203,149.949,audio_features,32Ao6xLLir3dPOhQGvqgSB,https://api.spotify.com/v1/tracks/32Ao6xLLir3dPOhQGvqgSB,https://api.spotify.com/v1/audio-analysis/32Ao6xLLir3dPOhQGvqgSB,220573,4
9,Eve,Tell Me I'm A Wreck,spotify:track:203zTFd1zbfG0fiOG9OREv,0.578,0.76,5,-2.307,1,0.0329,0.00188,0.0,0.142,0.7,127.904,audio_features,203zTFd1zbfG0fiOG9OREv,https://api.spotify.com/v1/tracks/203zTFd1zbfG0fiOG9OREv,https://api.spotify.com/v1/audio-analysis/203zTFd1zbfG0fiOG9OREv,219973,4
10,Eve,Astral,spotify:track:25Eazeq2jR3OAXKVyn5A46,0.163,0.0291,7,-32.294,1,0.0586,0.95,0.574,0.0913,0.167,137.329,audio_features,25Eazeq2jR3OAXKVyn5A46,https://api.spotify.com/v1/tracks/25Eazeq2jR3OAXKVyn5A46,https://api.spotify.com/v1/audio-analysis/25Eazeq2jR3OAXKVyn5A46,147809,5
11,Eve,Dramaturgy,spotify:track:72uSoNIf7eScfGZFQjNHrR,0.592,0.9,3,-1.73,0,0.0741,0.0192,0.0,0.172,0.706,149.018,audio_features,72uSoNIf7eScfGZFQjNHrR,https://api.spotify.com/v1/tracks/72uSoNIf7eScfGZFQjNHrR,https://api.spotify.com/v1/audio-analysis/72uSoNIf7eScfGZFQjNHrR,238181,4
12,Eve,A Friend Like You,spotify:track:3lUeZg1nFKs90uuP759lLx,0.609,0.0711,5,-29.12,1,0.101,0.996,0.964,0.138,0.401,94.899,audio_features,3lUeZg1nFKs90uuP759lLx,https://api.spotify.com/v1/tracks/3lUeZg1nFKs90uuP759lLx,https://api.spotify.com/v1/audio-analysis/3lUeZg1nFKs90uuP759lLx,98500,4
13,Eve,I Will Buy You A New Life,spotify:track:2fhfoZqqTJ8jo4HvWseNfM,0.518,0.87,0,-4.933,1,0.098,0.0351,0.00707,0.255,0.661,169.665,audio_features,2fhfoZqqTJ8jo4HvWseNfM,https://api.spotify.com/v1/tracks/2fhfoZqqTJ8jo4HvWseNfM,https://api.spotify.com/v1/audio-analysis/2fhfoZqqTJ8jo4HvWseNfM,238133,4
14,Eve,We Ready,spotify:track:1djfwy9FvafpK4KhznjjeI,0.756,0.532,6,-6.508,0,0.0934,0.072,0.0,0.0579,0.869,149.975,audio_features,1djfwy9FvafpK4KhznjjeI,https://api.spotify.com/v1/tracks/1djfwy9FvafpK4KhznjjeI,https://api.spotify.com/v1/audio-analysis/1djfwy9FvafpK4KhznjjeI,232480,4
15,Eve,Gangsta Lovin',spotify:track:0WgLpgUdThEpA5L5K0SKq7,0.723,0.84,1,-3.523,0,0.0608,0.0619,0.0,0.0945,0.827,94.332,audio_features,0WgLpgUdThEpA5L5K0SKq7,https://api.spotify.com/v1/tracks/0WgLpgUdThEpA5L5K0SKq7,https://api.spotify.com/v1/audio-analysis/0WgLpgUdThEpA5L5K0SKq7,239267,4
16,Eve,FightSong,spotify:track:37vujUbX37xoBmwoddMYck,0.507,0.966,6,-4.046,1,0.0952,0.000382,1.26e-06,0.349,0.752,125.913,audio_features,37vujUbX37xoBmwoddMYck,https://api.spotify.com/v1/tracks/37vujUbX37xoBmwoddMYck,https://api.spotify.com/v1/audio-analysis/37vujUbX37xoBmwoddMYck,208964,4
17,Eve,LA DI DA,spotify:track:6mIjJONoUMvGPT9Kzrab3L,0.477,0.85,3,-1.486,0,0.0911,0.00108,0.0,0.0675,0.601,163.845,audio_features,6mIjJONoUMvGPT9Kzrab3L,https://api.spotify.com/v1/tracks/6mIjJONoUMvGPT9Kzrab3L,https://api.spotify.com/v1/audio-analysis/6mIjJONoUMvGPT9Kzrab3L,210893,4
18,Eve,Who's That Girl?,spotify:track:3uVE5vLKkigiWBOQEgmdDk,0.77,0.86,6,-3.702,1,0.19,0.0159,0.000713,0.0682,0.547,96.428,audio_features,3uVE5vLKkigiWBOQEgmdDk,https://api.spotify.com/v1/tracks/3uVE5vLKkigiWBOQEgmdDk,https://api.spotify.com/v1/audio-analysis/3uVE5vLKkigiWBOQEgmdDk,281907,4
19,Eve,Wonderful,spotify:track:0WHOPmOuQKuu05k4g3UTvk,0.514,0.817,7,-6.489,1,0.05,0.0118,8.25e-06,0.346,0.734,186.765,audio_features,0WHOPmOuQKuu05k4g3UTvk,https://api.spotify.com/v1/tracks/0WHOPmOuQKuu05k4g3UTvk,https://api.spotify.com/v1/audio-analysis/0WHOPmOuQKuu05k4g3UTvk,280813,4
20,Eve,DUN DUN,spotify:track:3ejAkJLWQSEJDqDXxK3efB,0.692,0.881,11,-2.563,0,0.0461,0.0457,4.45e-06,0.146,0.432,103.053,audio_features,3ejAkJLWQSEJDqDXxK3efB,https://api.spotify.com/v1/tracks/3ejAkJLWQSEJDqDXxK3efB,https://api.spotify.com/v1/audio-analysis/3ejAkJLWQSEJDqDXxK3efB,192280,4
